code,board_code,board_name,prev_close,open,pct_chg,volume,amount,macd,macd_signal,macd_hist
600316,881166,军工装备,24.58,24.54,0.45,84665,46460.0,,,
600318,881283,多元金融,6.43,6.4,0.0,120404,53975.0,,,
600319,881108,化学原料,5.45,5.41,1.28,64661,30004.0,,,
600320,881118,专用设备,4.27,4.26,0.94,446262,211727.0,,,
600322,881153,房地产,2.54,2.52,0.0,309845,135709.0,,,
600323,881181,环境治理,31.2,31.21,1.22,69371,39720.0,,,
600325,881153,房地产,2.51,2.5,0.8,730193,381011.0,,,
600326,881115,建筑材料,6.81,6.78,5.43,1117620,591318.0,,,
600327,881175,医疗服务,3.6,3.58,-1.39,123375,55143.0,,,
600328,881108,化学原料,6.4,6.36,0.94,162906,84534.0,,,
600329,881141,中药,38.1,38.0,0.52,41694,20714.0,,,
600330,881172,电子化学品,18.21,18.03,-9.99,956635,460507.0,,,
600331,881263,农化制品,12.57,12.58,-1.75,572817,266959.0,,,
600332,881141,中药,21.98,21.99,1.0,125574,64636.0,,,
600333,881146,燃气,5.76,5.77,-0.69,99622,43010.0,,,
600335,881128,汽车服务及其他,5.14,5.12,2.53,145930,83961.0,,,
600336,881131,白色家电,5.97,5.95,1.51,85660,42175.0,,,
600337,881139,家居用品,2.63,2.64,-7.6,414639,116160.0,,,
600338,881168,工业金属,12.82,12.8,-1.48,384172,173163.0,,,
600339,881107,油气开采及服务,3.35,3.39,0.9,672225,314377.0,,,
600340,881153,房地产,1.05,1.04,-0.95,414571,175427.0,,,
600343,881117,通用设备,17.7,17.53,-4.92,243331,95980.0,,,
600345,881129,通信设备,41.16,40.89,-4.37,87548,43299.0,,,
600346,881180,石油加工贸易,16.66,16.66,1.56,333067,197450.0,,,
600348,881105,煤炭开采加工,8.64,8.69,0.12,232021,118523.0,,,
600350,881149,公路铁路运输,11.36,11.38,-4.14,202407,85351.0,,,
600351,881141,中药,6.52,6.51,-1.69,162379,71169.0,,,
600352,881109,化学制品,13.55,13.29,-2.51,871491,416769.0,,,
600353,881123,其他电子,23.96,24.2,-10.02,391870,211260.0,,,
600354,881101,种植业与林业,5.81,5.78,0.69,332167,164258.0,,,
600356,881137,造纸,7.9,7.95,4.18,134219,79516.0,,,
600358,881133,饮料制造,4.84,4.84,-1.24,69516,28276.0,,,
600359,881101,种植业与林业,5.81,5.81,-0.17,65009,30521.0,,,
600360,881121,半导体,9.82,9.7,-7.94,750194,287185.0,,,
600361,881168,工业金属,3.74,3.74,0.27,504796,262555.0,,,
600362,881168,工业金属,42.85,43.06,-1.66,408707,172042.0,,,
600363,881124,消费电子,26.03,25.84,-1.19,134669,54229.0,,,
600365,881177,互联网电商,2.67,2.64,0.0,19495,8720.0,,,
600366,881114,金属新材料,10.92,10.87,-2.29,560532,228548.0,,,
600367,881108,化学原料,28.62,28.62,-5.84,270349,130811.0,,,
600368,881149,公路铁路运输,3.85,3.85,0.52,132845,70348.0,,,
600369,881157,证券,4.16,4.14,0.24,465959,243962.0,,,
600370,881264,化学纤维,1.64,1.59,-3.66,229786,75609.0,,,
600371,881101,种植业与林业,6.54,6.58,1.38,49740,25846.0,,,
600372,881166,军工装备,11.24,11.19,0.44,296429,162924.0,,,
600373,881164,文化传媒,7.32,7.32,2.87,150469,90920.0,,,
600375,881125,汽车整车,3.98,3.97,1.51,330459,178428.0,,,
600376,881153,房地产,3.69,3.64,0.0,929287,413931.0,,,
600377,881149,公路铁路运输,12.34,12.33,0.41,157603,91086.0,,,
600378,881109,化学制品,43.16,43.01,-6.72,516502,236512.0,,,
600379,881278,电网设备,11.73,11.56,-9.97,205181,88964.0,,,
600380,881140,化学制药,10.2,10.2,0.39,152318,80259.0,,,
600381,881134,食品加工制造,3.38,3.4,0.89,82958,41580.0,,,
600382,881112,钢铁,6.28,6.3,0.64,287002,131242.0,,,
600383,881153,房地产,2.27,2.26,0.88,944327,480186.0,,,
600386,881128,汽车服务及其他,3.19,3.17,0.31,98528,50086.0,,,
600388,881284,环保设备,17.79,17.78,1.29,134140,79210.0,,,
600389,881263,农化制品,20.32,20.58,5.51,204687,114855.0,,,
600390,881283,多元金融,4.97,4.94,0.6,402501,197644.0,,,
600391,881166,军工装备,28.18,27.98,-2.48,79273,35761.0,,,
600392,881170,小金属,20.55,20.22,-2.29,588941,232738.0,,,
600395,881105,煤炭开采加工,4.87,4.88,1.03,296116,150252.0,,,
600396,881145,电力,16.16,15.85,-10.02,2693900,1178420.0,,,
600397,881118,专用设备,13.37,13.4,-7.7,756175,296869.0,,,
600398,881136,服装家纺,6.16,6.15,2.11,439517,255324.0,,,
600399,881112,钢铁,4.13,4.12,0.97,370886,193824.0,,,
600400,881136,服装家纺,2.73,2.69,-1.83,593874,254488.0,,,
600403,881105,煤炭开采加工,5.64,5.6,1.95,1359498,703604.0,,,
600405,881282,其他电源设备,4.03,4.03,0.0,113302,50703.0,,,
600406,881278,电网设备,23.93,23.88,1.63,759211,429983.0,,,
600408,881105,煤炭开采加工,2.68,2.66,-1.87,400043,161521.0,,,
600409,881108,化学原料,6.66,6.78,-1.05,309485,155264.0,,,
600410,881271,IT服务,13.33,13.28,-3.3,615219,266473.0,,,
600415,881158,零售,12.65,12.46,1.66,1584666,801986.0,,,
600416,881277,电机,9.08,9.05,0.66,165895,87906.0,,,
600418,881125,汽车整车,22.17,22.19,10.01,767682,331157.0,,,
600419,881133,饮料制造,8.83,8.88,-2.04,302187,129739.0,,,
600420,881140,化学制药,8.7,8.69,1.61,93640,56886.0,,,
600422,881141,中药,9.06,9.08,0.33,114325,58641.0,,,
600423,881108,化学原料,2.69,2.68,0.37,56626,24206.0,,,
600425,881115,建筑材料,3.43,3.43,0.29,148573,81889.0,,,
600426,881263,农化制品,21.59,21.6,1.62,433934,229896.0,,,
600428,881148,港口航运,10.92,11.01,0.55,674778,341027.0,,,
600429,881133,饮料制造,4.69,4.69,-3.2,475878,230919.0,,,
600433,881137,造纸,3.31,3.29,-1.21,342119,151272.0,,,
600435,881166,军工装备,10.59,10.56,-0.19,171022,83539.0,,,
600436,881141,中药,136.39,135.61,1.03,88437,43750.0,,,
600438,881279,光伏设备,11.54,11.42,1.3,748918,382284.0,,,
600439,881136,服装家纺,2.16,2.15,0.0,151140,65839.0,,,
600444,881118,专用设备,12.65,12.68,0.55,26158,14178.0,,,
600446,881271,IT服务,10.59,10.56,3.59,306279,176710.0,,,
600448,881135,纺织制造,2.57,2.58,1.17,149982,73230.0,,,
600449,881115,建筑材料,11.94,12.14,-0.42,69607,31704.0,,,
600452,881145,电力,9.88,9.81,-0.51,260071,119241.0,,,
600455,881178,教育,21.39,21.39,0.84,20457,11273.0,,,
600456,881170,小金属,27.89,27.9,1.15,76136,45161.0,,,
600458,881165,综合,11.18,11.14,-0.45,199915,89478.0,,,
600459,881170,小金属,18.12,18.04,-0.44,178191,75677.0,,,
600460,881121,半导体,29.9,29.51,-7.12,964574,418919.0,,,
600461,881181,环境治理,9.31,9.3,-0.32,109202,56061.0,,,
600463,881153,房地产,7.57,7.5,-0.66,35335,14453.0,,,
600467,881102,养殖业,2.17,2.17,0.0,269627,113987.0,,,
600468,881278,电网设备,5.75,5.65,-2.26,283806,111742.0,,,
600469,881126,汽车零部件,5.23,5.18,0.0,69722,37124.0,,,
600470,881263,农化制品,5.51,5.45,-2.0,273447,132166.0,,,
600475,881145,电力,13.53,13.55,9.98,234686,130664.0,,,
600476,881271,IT服务,8.47,8.45,-0.83,11420,4618.0,,,
600477,881116,建筑装饰,2.38,2.37,-0.42,357039,160047.0,,,
600478,881281,电池,5.03,5.01,0.99,303732,167732.0,,,
600479,881141,中药,9.63,9.6,0.52,52752,26473.0,,,
600480,881126,汽车零部件,8.65,8.59,1.5,177817,94420.0,,,
600481,881279,光伏设备,4.0,3.98,0.0,477799,230190.0,,,
600482,881282,其他电源设备,28.53,28.46,-4.73,247582,124888.0,,,
600483,881145,电力,11.08,11.05,-1.08,119159,52557.0,,,
600486,881263,农化制品,56.12,56.5,3.81,69344,35920.0,,,
600487,881129,通信设备,49.75,49.7,-5.13,1763015,825919.0,,,
600488,881140,化学制药,5.24,5.24,-4.58,1044974,441572.0,,,
600489,881169,贵金属,21.74,22.1,0.74,945728,483278.0,,,
600490,881168,工业金属,6.51,6.59,-0.77,497359,228562.0,,,
600491,881116,建筑装饰,1.24,1.24,0.0,633805,329446.0,,,
600493,881135,纺织制造,5.47,5.43,-1.65,62171,30598.0,,,
600495,881269,轨交设备,3.88,3.87,-0.77,77654,31090.0,,,
600496,881116,建筑装饰,3.31,3.3,-0.3,273479,136587.0,,,
600497,881168,工业金属,9.08,9.02,-1.76,999801,398192.0,,,
600498,881129,通信设备,34.56,34.01,-7.26,702362,338039.0,,,
600499,881139,家居用品,16.65,16.65,0.84,433501,223654.0,,,
600500,881109,化学制品,4.69,4.62,-4.26,853231,357826.0,,,
600501,881118,专用设备,13.83,13.81,-1.66,66511,33279.0,,,
600502,881116,建筑装饰,4.75,4.74,0.21,266454,132209.0,,,
600503,881153,房地产,2.04,2.04,-0.98,287304,117731.0,,,
600505,881145,电力,11.1,11.06,-1.8,87063,37359.0,,,
600506,881180,石油加工贸易,13.94,14.02,-1.43,51563,22646.0,,,
600507,881112,钢铁,4.56,4.54,-0.44,377174,189182.0,,,
600508,881105,煤炭开采加工,8.58,8.58,1.05,80882,40531.0,,,
600509,881145,电力,7.66,7.55,-1.57,272372,104602.0,,,
600510,881153,房地产,6.28,6.25,-0.48,76096,31858.0,,,
600511,881143,医药商业,27.75,27.76,1.33,62284,35854.0,,,
600512,881116,建筑装饰,2.0,1.98,0.0,259078,113332.0,,,
600513,881140,化学制药,15.24,15.18,9.97,320392,137355.0,,,
600515,881151,机场航运,2.88,2.87,1.39,1230732,639879.0,,,
600516,881112,钢铁,5.15,5.14,0.19,374152,173255.0,,,
600517,881283,多元金融,5.05,5.03,1.39,274383,154930.0,,,
600518,881141,中药,1.35,1.34,0.0,1422666,632347.0,,,
600519,881273,白酒,1321.0,1323.0,3.09,71873,41794.0,,,
600520,881118,专用设备,22.2,21.99,-7.57,157154,66212.0,,,
600521,881140,化学制药,16.27,16.3,0.31,369549,176748.0,,,
600522,881129,通信设备,29.34,29.18,-5.59,2196712,1043034.0,,,
600523,881126,汽车零部件,11.16,11.18,-0.9,38552,15034.0,,,
600525,881278,电网设备,4.77,4.75,-0.84,63008,29647.0,,,
600526,881284,环保设备,4.33,4.32,0.46,71125,34681.0,,,
600527,881264,化学纤维,2.14,2.12,-0.93,460036,180292.0,,,
600528,881269,轨交设备,7.24,7.22,0.97,144272,87632.0,,,
600529,881144,医疗器械,19.67,19.6,1.78,154855,91946.0,,,
600530,881134,食品加工制造,4.92,4.89,1.42,120202,63137.0,,,
