date,code,name,board_code,board_name,prev_close,open,pct_chg,volume,amount,macd
2026-07-30,002522,浙江众成,881265,塑料制品,4.84,4.78,-0.21,32642900.0,157079850.0,-0.5025
2026-07-30,002523,天桥起重,881118,专用设备,3.32,3.3,-1.51,21624548.0,71484875.0,0.0188
2026-07-30,002524,光正眼科,881175,医疗服务,3.61,3.65,-0.55,11991400.0,43233197.0,-0.0225
2026-07-30,002526,山东矿机,881118,专用设备,2.63,2.61,-0.76,22991020.0,60407678.0,-0.0468
2026-07-30,002527,新时达,881171,自动化设备,10.65,10.6,-1.78,8410033.0,88688670.0,-0.7643
2026-07-30,002528,*ST英飞,881130,计算机设备,4.66,4.6,-0.64,7337065.0,33711475.0,0.0003
2026-07-30,002529,海源复材,881118,专用设备,6.42,6.42,-1.56,5070500.0,32600298.0,-0.2881
2026-07-30,002530,金财互联,881117,通用设备,7.01,7.01,-0.43,16017400.0,113302076.0,-0.102
2026-07-30,002531,天顺风能,881280,风电设备,6.45,6.36,-2.33,41082835.0,261676200.0,-0.7062
2026-07-30,002532,天山铝业,881168,工业金属,13.04,13.19,0.69,117197228.0,1568495500.0,0.1134
2026-07-30,002533,金杯电工,881278,电网设备,11.34,11.3,-1.06,13220046.0,150113410.0,-0.042
2026-07-30,002534,西子洁能,881282,其他电源设备,12.55,12.55,10.04,23448423.0,313071090.0,-1.5741
2026-07-30,002535,林州重机,881118,专用设备,2.26,2.25,0.0,14653330.0,33381318.0,-0.0645
2026-07-30,002536,飞龙股份,881126,汽车零部件,40.92,39.9,-10.0,27875623.0,1061314080.0,-1.1801
2026-07-30,002537,海联金汇,881126,汽车零部件,5.72,5.7,1.4,29331330.0,170465240.0,-0.0345
2026-07-30,002538,ST司特,881263,农化制品,6.36,6.32,0.31,6812000.0,43601965.0,0.0612
2026-07-30,002539,云图控股,881263,农化制品,11.79,11.7,2.04,33292938.0,398066210.0,-0.0257
2026-07-30,002540,亚太科技,881168,工业金属,4.94,4.93,0.61,10575529.0,52549932.0,-0.0318
2026-07-30,002541,鸿路钢构,881116,建筑装饰,20.58,20.39,-1.94,7793150.0,157918000.0,0.5828
2026-07-30,002542,*ST中岩,881116,建筑装饰,1.64,1.62,-2.44,32019600.0,51441827.0,0.0578
2026-07-30,002543,万和电气,881174,厨卫电器,6.6,6.61,1.82,5011600.0,33476534.0,-0.0435
2026-07-30,002544,普天科技,881162,通信服务,15.66,15.55,-1.98,11379427.0,176631910.0,-1.0459
2026-07-30,002545,东方铁塔,881263,农化制品,18.96,18.96,0.58,25879213.0,502293120.0,0.1177
2026-07-30,002546,新联电子,881278,电网设备,8.53,8.37,-2.7,37407900.0,312213410.0,0.2245
2026-07-30,002547,*ST春兴,881129,通信设备,2.21,2.43,9.95,9043700.0,21976191.0,-0.1551
2026-07-30,002548,金新农,881103,农产品加工,3.8,3.77,-1.05,29136927.0,110966071.0,-0.0616
2026-07-30,002549,凯美特气,881181,环境治理,13.18,13.01,-4.86,34617083.0,443740420.0,-1.2999
